codigo_cliente,nombre_cliente,ape_pat,ape_mat,direccion,telefono
1,Saba,Handke,Colthurst,scolthurst0@netlog.com,894-304-5830
2,Rainer,Seary,Row,rrow1@github.com,398-348-2243
3,Enos,Gormley,Whitwell,ewhitwell2@eventbrite.com,163-953-8358
4,Cleavland,Doughton,Parvin,cparvin3@pinterest.com,721-360-2232
5,Lisa,Gretton,Bestiman,lbestiman4@t.co,471-379-3958
6,Xena,Tincey,Peeke,xpeeke5@buzzfeed.com,487-587-2511
7,Dinah,O'Fogarty,Treharne,dtreharne6@java.com,430-906-2389
8,Wyatt,Morrel,McKibben,wmckibben7@mysql.com,612-242-0896
9,Nancy,McGillicuddy,Altoft,naltoft8@nationalgeographic.com,213-628-6775
10,Daffi,Boschmann,Oldmeadow,doldmeadow9@w3.org,180-843-3396
11,Ruthie,Salvage,Jeandet,rjeandeta@sciencedirect.com,552-294-7435
12,Cassondra,Flanigan,Colquyte,ccolquyteb@mapy.cz,236-240-6321
13,Trey,Greatbank,Woolmington,twoolmingtonc@technorati.com,657-623-5949
14,Elwood,Spoure,Pods,epodsd@opensource.org,814-478-3751
15,Ruttger,Duley,Fosse,rfossee@ning.com,847-228-2965
16,Jemmie,Ellingford,Kettlesing,jkettlesingf@timesonline.co.uk,925-911-0979
17,Dani,Eva,Calan,dcalang@businessweek.com,908-920-2339
18,Gerda,Greeve,Sweeny,gsweenyh@indiegogo.com,794-539-4898
19,Dov,Circuitt,Aspling,dasplingi@opera.com,766-496-6975
20,Ardella,Eastabrook,Ickovits,aickovitsj@plala.or.jp,229-980-0751
21,Otha,Reymers,Knowlton,oknowltonk@surveymonkey.com,541-834-8195
22,Dru,Hindhaugh,Worwood,dworwoodl@epa.gov,382-894-2146
23,Henka,Grigor,Castelletto,hcastellettom@hibu.com,724-512-3250
24,Farah,Snarr,Kay,fkayn@issuu.com,559-421-9459
25,Claudetta,Gliddon,Simukov,csimukovo@indiatimes.com,966-738-6503
26,Vanya,Sterre,Grimsell,vgrimsellp@scribd.com,622-624-6864
27,Giralda,Burberry,Dancy,gdancyq@friendfeed.com,647-406-8162
28,Smith,Marishenko,Yann,syannr@storify.com,546-469-3537
29,Gratiana,Hatchman,De Ruggiero,gderuggieros@freewebs.com,434-951-9685
30,Laryssa,Hurlestone,Swalwel,lswalwelt@deviantart.com,437-915-5738
31,Celestyn,Headly,Yeatman,cyeatmanu@gnu.org,989-802-8051
32,Karyl,Vaudrey,Grimbaldeston,kgrimbaldestonv@harvard.edu,223-483-7595
33,Tyrone,Bickmore,Basek,tbasekw@wikia.com,168-740-7787
34,Delly,Hindshaw,Rowaszkiewicz,drowaszkiewiczx@topsy.com,964-643-7475
35,Gunar,Biskup,McKillop,gmckillopy@acquirethisname.com,630-695-3521
36,Reinald,McCaughan,Bourget,rbourgetz@huffingtonpost.com,233-840-3288
37,Noby,Tooth,Buttel,nbuttel10@state.tx.us,273-909-4742
38,Ardenia,Baxstar,Ludmann,aludmann11@nifty.com,466-518-2349
39,Junie,Coogan,Rowlin,jrowlin12@google.com.br,145-965-6421
40,Georgeta,Mathwen,Ricardou,gricardou13@dagondesign.com,164-816-1337
41,Benedikta,Aberdein,Harriss,bharriss14@comcast.net,148-228-5027
42,Bertram,O' Cuolahan,Ullyott,bullyott15@freewebs.com,167-316-9488
43,Dame,Furness,Scole,dscole16@cloudflare.com,333-972-3358
44,Sergent,Amburgy,Baraclough,sbaraclough17@hibu.com,907-982-3375
45,Casar,Vernau,Redihalgh,credihalgh18@technorati.com,672-534-0295
46,Cacilia,Dunstone,Byles,cbyles19@hostgator.com,834-809-2207
