codigo_proveedor,nombre_proveedor,telefono,estado
1,Kane Mordecai,+63 (646) 504-8927,true
2,Cathryn Fealey,+63 (481) 899-0831,false
3,Eddi Ganter,+420 (210) 268-2765,false
4,Munroe Petrashov,+56 (523) 414-5890,true
5,Madelin Pyper,+51 (894) 309-8912,false
6,Bernhard Grayer,+850 (985) 765-8908,false
7,Kerby Britner,+1 (757) 956-8021,true
8,Wynn Carreyette,+60 (413) 948-5067,true
9,Zea Fernier,+63 (553) 311-0959,false
10,Jerrie Driussi,+49 (830) 931-2991,true
11,Marie-ann Tasch,+963 (100) 374-7365,false
12,Meredeth Ferebee,+57 (257) 776-5889,false
13,Irwinn Jodrelle,+593 (773) 738-4428,false
14,Jeno Lakeman,+234 (737) 621-8197,true
15,Mattheus Beentjes,+86 (881) 747-8663,true
16,Dominic Stormont,+44 (952) 600-4279,false
17,Bevvy Antonignetti,+1 (850) 485-7460,false
18,Kale Yarham,+30 (642) 855-2150,true
19,Jeannie Pointin,+55 (702) 596-6410,true
20,Northrop Slocom,+963 (425) 576-0283,true
21,Sophi Carty,+7 (103) 481-2150,false
22,Elwood Christaeas,+51 (959) 519-0974,false
23,Baily Piffe,+55 (242) 305-9419,true
24,Seward Draye,+39 (404) 258-3196,true
25,Perkin Tremethack,+62 (814) 594-0180,true
26,Cully Denidge,+66 (765) 166-5180,true
27,Rodd Faveryear,+86 (897) 492-8542,true
28,Lia Liles,+7 (903) 585-8835,false
29,Elayne Foyle,+63 (513) 404-9764,false
30,Dolley Mariner,+7 (985) 151-9550,false
31,Rycca Rosario,+351 (634) 926-7423,true
32,Trueman Avarne,+593 (409) 700-6014,true
33,Petey Huxtable,+92 (102) 556-0731,false
34,Herby Beers,+30 (948) 641-1154,false
35,Margo Brockman,+62 (676) 189-1763,true
36,Genni Wilson,+7 (818) 644-1578,true
37,Koral Percival,+63 (796) 862-9244,false
38,Wilie Fortescue,+55 (913) 117-7377,true
39,Roobbie Dohmann,+386 (932) 833-3908,true
40,Carlota Floweth,+62 (891) 530-9562,true
41,Freeland Lees,+356 (969) 792-4162,true
42,Phylis Trembey,+30 (894) 220-3338,false
43,Hillery Yoselevitch,+86 (403) 995-1949,false
44,Avril Stovine,+86 (409) 489-6310,true
45,Vonnie Thornewill,+352 (199) 992-2842,true
46,Rees Lathy,+33 (279) 808-0429,false
47,Pammie Mueller,+381 (893) 982-9343,false
48,Silvan Wigmore,+86 (911) 553-6138,true
49,Dian Crumley,+46 (647) 549-5417,true
50,Reade Championnet,+351 (608) 518-9711,true
51,Oswald Prose,+7 (226) 816-1981,true
52,Lee Venables,+63 (544) 825-8378,false
53,Wrennie Leed,+86 (168) 557-5247,false
54,Oralia Thomann,+81 (807) 113-9925,true
55,Martelle Brinson,+62 (851) 312-6132,true
56,Tricia Tattersall,+374 (531) 540-2224,false
57,Rhea Hollingdale,+55 (784) 922-9668,true
58,Benedetta Jennemann,+93 (955) 235-8331,false
59,Caron Renish,+420 (832) 366-4277,true
60,Lyon Georgeson,+254 (260) 694-0009,true
61,Gillian Fadian,+84 (921) 709-9416,false
62,Maddalena Bick,+7 (658) 426-2983,false
63,Harmony Martinovsky,+30 (777) 291-3213,false
64,Eberhard Bridell,+359 (280) 628-1885,true
65,Christiane Vango,+269 (601) 176-5019,false
66,Hartley MacCrachen,+63 (934) 816-4786,true
67,Billi Daintrey,+55 (978) 460-5700,false
68,Elton Broadbury,+86 (605) 902-6417,true
